Taxname,Taxid,GI,Accession,DNA type,Length,GC,Random
Staphylococcus aureus subsp. aureus ED98,681288,262076645,CP001783.1,Plasmid,4440,30.0675675676,88841
Staphylococcus aureus subsp. aureus ED98,681288,262076649,CP001784.1,Plasmid,17256,28.958043579,88841
Staphylococcus aureus subsp. aureus JH1,359787,149944932,CP000736.1,Genome,2906507,32.9506861673,13473
Staphylococcus aureus subsp. aureus JH1,359787,149947680,CP000737.1,Plasmid,30429,29.6394886457,13473
Staphylococcus aureus subsp. aureus JH9,359786,147739516,CP000703.1,Genome,2906700,32.9493927822,93871
Staphylococcus aureus subsp. aureus JH9,359786,147742268,CP000704.1,Plasmid,30429,29.6394886457,93871
Staphylococcus aureus subsp. aureus str. JKD6008,546342,302749911,CP002120.1,Genome,2924344,32.8871705928,65282
Staphylococcus aureus subsp. aureus JKD6159,869816,304365608,CP002114.2,Genome,2811435,32.8069117728,4160
Staphylococcus aureus subsp. aureus JKD6159,869816,302334329,CP002115.1,Plasmid,20730,28.3598649301,4160
Staphylococcus aureus subsp. aureus LGA251,985006,344176319,FR821779.1,Genome,2750834,32.9629486912,83303
Staphylococcus aureus subsp. aureus LGA251,985006,343887213,FR821780.1,Plasmid,2993,29.1012362178,83303
Staphylococcus aureus subsp. aureus M013,1118959,359829121,CP003166.1,Genome,2788636,32.8543416925,6262
Staphylococcus aureus M1,1305598,479274824,HF937103.1,Genome,2864125,32.421036093,90505
Staphylococcus aureus M1,1305598,479277522,HF937104.1,Plasmid,27439,27.2203797514,90505
Staphylococcus aureus subsp. aureus MSHR1132,985002,356871517,FR821777.2,Genome,2762785,32.3884051781,46297
Staphylococcus aureus subsp. aureus MSHR1132,985002,356871477,FR821778.1,Plasmid,24853,28.5237194705,46297
Staphylococcus aureus subsp. aureus Mu3,418127,156720466,AP009324.1,Genome,2880168,32.8776654695,46385
Staphylococcus aureus subsp. aureus Mu50,158878,14020884,AP003367.1,Plasmid,25107,28.9321703111,13926
Staphylococcus aureus subsp. aureus Mu50,158878,47208328,BA000017.4,Genome,2878529,32.8777997373,13926
Staphylococcus aureus subsp. aureus MW2,196620,47118312,BA000033.2,Genome,2820462,32.8295860749,90575
Staphylococcus aureus subsp. aureus N315,158879,13774139,AP003139.1,Plasmid,24653,28.6983328601,29877
Staphylococcus aureus subsp. aureus N315,158879,47118324,BA000018.3,Genome,2814816,32.8434966975,29877
Staphylococcus aureus subsp. aureus NCTC 8325,93061,87201381,CP000253.1,Genome,2821361,32.8682504649,83042
Staphylococcus aureus subsp. aureus str. Newman,426430,150373012,AP009351.1,Genome,2878897,32.8882554673,74291
Staphylococcus aureus RF122,273036,82655308,AJ938182.1,Genome,2742531,32.7787361383,52115
Staphylococcus aureus subsp. aureus SA40,1194085,545582967,CP003604.1,Genome,2728308,32.8584602618,91484
Staphylococcus aureus subsp. aureus SA957,1201010,545580417,CP003603.1,Genome,2789538,32.8526802646,97809
Staphylococcus aureus subsp. aureus ST228,1074919,408422572,HE579059.1,Genome,2759510,32.8509409279,38300
Staphylococcus aureus subsp. aureus ST228,1074919,408424537,HE579060.1,Plasmid,30854,32.1384585467,38300
Staphylococcus aureus subsp. aureus ST228,1074919,408424560,HE579061.1,Genome,2759512,32.8510983101,77263
Staphylococcus aureus subsp. aureus ST228,1074919,408426526,HE579062.1,Plasmid,30854,32.1384585467,77263
Staphylococcus aureus subsp. aureus ST228,1074919,408426549,HE579063.1,Genome,2759883,32.8500882103,13869
Staphylococcus aureus subsp. aureus ST228,1074919,408428514,HE579064.1,Plasmid,32184,32.3079791201,13869
Staphylococcus aureus subsp. aureus ST228,1074919,408428537,HE579065.1,Genome,2759835,32.8500435714,63091
Staphylococcus aureus subsp. aureus ST228,1074919,408430503,HE579066.1,Plasmid,30853,32.1427413866,63091
Staphylococcus aureus subsp. aureus ST228,1074919,408430526,HE579067.1,Genome,2759457,32.850629671,26149
Staphylococcus aureus subsp. aureus ST228,1074919,408432490,HE579068.1,Plasmid,37285,28.6576371195,26149
Staphylococcus aureus subsp. aureus ST228,1074919,408434508,HE579071.1,Genome,2759263,32.8521420394,70424
Staphylococcus aureus subsp. aureus ST228,1074919,408436477,HE579072.1,Plasmid,23759,29.3320425944,70424
Staphylococcus aureus subsp. aureus ST398,523796,283469229,AM990992.1,Genome,2872582,32.9220540963,78769
Staphylococcus aureus subsp. aureus ST398,523796,283471929,AM990993.1,Plasmid,5246,30.7281738467,78769
Staphylococcus aureus subsp. aureus ST398,523796,283471934,AM990994.1,Plasmid,4381,31.6366126455,78769
Staphylococcus aureus subsp. aureus ST398,523796,283471940,AM990995.1,Plasmid,3158,29.00569981,78769
Staphylococcus aureus subsp. aureus 71193,1155084,384229115,CP003045.1,Genome,2715000,32.9374585635,70166
Staphylococcus aureus subsp. aureus T0131,1006543,329312723,CP002643.1,Genome,2913900,32.8028072343,29880
Staphylococcus aureus subsp. aureus TCH60,548473,312436391,CP002110.1,Genome,2802675,32.8749141445,36386
Staphylococcus aureus subsp. aureus TCH60,548473,312439065,CP002111.1,Plasmid,24491,28.1981135927,36386
Staphylococcus aureus subsp. aureus TW20,663951,269939526,FN433596.1,Genome,3043210,32.781438021,539
Staphylococcus aureus subsp. aureus TW20,663951,269942301,FN433597.1,Plasmid,29585,32.87814771,539
Staphylococcus aureus subsp. aureus TW20,663951,269942329,FN433598.1,Plasmid,3011,28.9936898041,539
Staphylococcus aureus subsp. aureus HO 5096 0412,1074252,385195117,HE681097.1,Genome,2832299,32.8342099475,39415
Staphylococcus aureus subsp. aureus ST228,1074919,408432519,HE579069.1,Genome,2759473,32.8517800319,92065
Staphylococcus aureus subsp. aureus ST228,1074919,408434484,HE579070.1,Plasmid,32700,32.2874617737,92065
Staphylococcus aureus subsp. aureus ST228,1074919,408436493,HE579073.1,Genome,2759328,32.8519842512,54695
Staphylococcus aureus subsp. aureus ST228,1074919,408438460,HE579074.1,Plasmid,23758,29.3374863204,54695
Staphylococcus aureus subsp. aureus USA300_FPR3757,451515,87125858,CP000255.1,Genome,2872769,32.7509799779,55019
Staphylococcus aureus subsp. aureus USA300_FPR3757,451515,87125811,CP000256.1,Plasmid,3125,28.736,55019
Staphylococcus aureus subsp. aureus USA300_FPR3757,451515,87125817,CP000257.1,Plasmid,4439,30.0067582789,55019
Staphylococcus aureus subsp. aureus USA300_FPR3757,451515,87125821,CP000258.1,Plasmid,37136,28.6676001723,55019
Staphylococcus aureus subsp. aureus USA300_TCH1516,451516,160367075,CP000730.1,Genome,2872915,32.7563467767,36700
Staphylococcus aureus subsp. aureus USA300_TCH1516,451516,160369733,CP000731.1,Plasmid,27041,30.516622906,36700
Staphylococcus aureus subsp. aureus USA300_TCH1516,451516,225593004,CP001544.1,Plasmid,3125,28.736,36700
Staphylococcus aureus subsp. aureus VC40,1028799,374362062,CP003033.1,Genome,2692570,32.8145600671,89991
Staphylococcus aureus subsp. aureus Z172,1406863,554590848,CP006838.1,Genome,2987966,32.835882336,20788
Staphylococcus aureus subsp. aureus Z172,1406863,554593683,CP006839.1,Plasmid,27326,32.9722608505,20788
Staphylococcus aureus subsp. aureus Z172,1406863,554593717,CP006840.1,Plasmid,3011,28.9936898041,20788
Yersinia enterocolitica subsp. enterocolitica 8081,393305,122087364,AM286415.1,Genome,4615899,47.2710516413,50186
Yersinia enterocolitica subsp. enterocolitica 8081,393305,121663664,AM286416.1,Plasmid,67721,43.9213833228,50186
Yersinia enterocolitica subsp. palearctica 105.5R(r),994476,325663854,CP002246.1,Genome,4552107,47.0005867613,91359
Yersinia enterocolitica subsp. palearctica 105.5R(r),994476,325667790,CP002247.1,Plasmid,69704,44.2169746356,91359
Yersinia enterocolitica subsp. palearctica Y11,930944,319801179,FR729477.2,Genome,4553420,47.0148811223,27319
Yersinia enterocolitica subsp. palearctica Y11,930944,318608122,FR745874.1,Plasmid,72460,43.9884073972,27319
Yersinia pestis A1122,1035377,342852136,CP002956.1,Genome,4553770,47.5825085588,27794
Yersinia pestis A1122,1035377,342856268,CP002957.1,Plasmid,96210,50.2276270658,27794
Yersinia pestis A1122,1035377,342856375,CP002958.1,Plasmid,8431,44.0161309453,27794
Yersinia pestis Angola,349746,162350793,CP000900.1,Plasmid,114570,49.9790521079,55224
Yersinia pestis Angola,349746,162350914,CP000901.1,Genome,4504254,47.5980262214,55224
Yersinia pestis Angola,349746,162354752,CP000902.1,Plasmid,68190,44.6414430268,55224
Yersinia pestis Antiqua,360102,108777911,CP000308.1,Genome,4702289,47.7011940355,47850
Yersinia pestis Antiqua,360102,108782079,CP000309.1,Plasmid,96471,50.2399684879,47850
Yersinia pestis Antiqua,360102,108782179,CP000310.1,Plasmid,10777,45.4393616034,47850
Yersinia pestis Antiqua,360102,108782189,CP000311.1,Plasmid,70299,44.8327856726,47850
Yersinia pestis biovar Medievalis str. Harbin 35,547048,320013210,CP001608.1,Genome,4532063,47.5887029814,21169
Yersinia pestis biovar Medievalis str. Harbin 35,547048,320017468,CP001609.1,Plasmid,68552,44.6303536002,21169
Yersinia pestis biovar Medievalis str. Harbin 35,547048,320017522,CP001610.1,Plasmid,99286,50.1530930846,21169
Yersinia pestis biovar Medievalis str. Harbin 35,547048,320017637,CP001611.1,Plasmid,9600,45.2916666667,21169
Yersinia pestis biovar Microtus str. 91001,229193,45438631,AE017042.1,Genome,4595065,47.6500767671,20500
Yersinia pestis biovar Microtus str. 91001,229193,45357124,AE017043.1,Plasmid,70159,44.8467053407,20500
Yersinia pestis biovar Microtus str. 91001,229193,45357210,AE017044.1,Plasmid,21742,49.0663232453,20500
Yersinia pestis biovar Microtus str. 91001,229193,45357241,AE017045.1,Plasmid,106642,50.3113219932,20500
Yersinia pestis biovar Microtus str. 91001,229193,45357364,AE017046.1,Plasmid,9609,45.2596524092,20500
Yersinia pestis CO92,214092,5763810,AL109969.1,Plasmid,9612,45.2663337495,15290
Yersinia pestis CO92,214092,5832423,AL117189.1,Plasmid,70305,44.8360714032,15290
Yersinia pestis CO92,214092,5834685,AL117211.1,Plasmid,96210,50.2276270658,15290
Yersinia pestis CO92,214092,30407161,AL590842.1,Genome,4653728,47.6361102325,15290
Yersinia pestis D106004,637382,262360188,CP001585.1,Genome,4640720,47.6260149287,76557
Yersinia pestis D106004,637382,262363818,CP001586.1,Plasmid,68342,44.6431184338,76557
Yersinia pestis D106004,637382,262363886,CP001587.1,Plasmid,94249,50.2031851797,76557
Yersinia pestis D106004,637382,262363963,CP001588.1,Plasmid,9611,45.2814483404,76557
Yersinia pestis D182038,637385,262364133,CP001589.1,Genome,4626944,47.6318926704,70458
Yersinia pestis D182038,637385,262363973,CP001590.1,Plasmid,69665,44.7197301371,70458
Yersinia pestis D182038,637385,262364042,CP001591.1,Plasmid,96046,50.230098078,70458
Yersinia pestis D182038,637385,262364123,CP001592.1,Plasmid,9608,45.2851790175,70458
Yersinia pestis KIM10+,187410,22002119,AE009952.1,Genome,4600755,47.6411588967,87542
Yersinia pestis KIM10+,187410,3883003,AF074611.1,Plasmid,100990,50.1623923161,87542
Yersinia pestis Nepal516,377628,108773814,CP000305.1,Genome,4534590,47.5840153134,72039
Yersinia pestis Nepal516,377628,108777796,CP000306.1,Plasmid,100918,50.162508175,72039
Yersinia pestis Nepal516,377628,108777901,CP000307.1,Plasmid,10778,45.4351456671,72039
Yersinia pestis Pestoides F,386656,145209020,CP000668.1,Genome,4517345,47.64393687,71263
Yersinia pestis Pestoides F,386656,145212871,CP000669.1,Plasmid,71507,44.8893115359,71263
Yersinia pestis Pestoides F,386656,145212960,CP000670.1,Plasmid,137010,52.0056930151,71263
Yersinia pestis Z176003,637386,294352569,CP001593.1,Genome,4553586,47.6788623296,68709
Yersinia pestis Z176003,637386,294352395,CP001594.1,Plasmid,68342,44.6416552047,68709
Yersinia pestis Z176003,637386,294352463,CP001595.1,Plasmid,94251,50.2042418648,68709
Yersinia pestis Z176003,637386,294352540,CP001596.1,Plasmid,9609,45.2804662296,68709
Yersinia pseudotuberculosis IP 31758,349747,152958106,CP000718.1,Plasmid,58679,40.2239301965,48850
Yersinia pseudotuberculosis IP 31758,349747,152958171,CP000719.1,Plasmid,153140,40.355230508,48850
Yersinia pseudotuberculosis IP 31758,349747,152958308,CP000720.1,Genome,4723306,47.5375933721,48850
Yersinia pseudotuberculosis IP 32953,273123,51587641,BX936398.1,Genome,4744671,47.6103822583,16819
Yersinia pseudotuberculosis IP 32953,273123,108860311,BX936399.2,Plasmid,68525,44.5983217804,16819
Yersinia pseudotuberculosis IP 32953,273123,51591639,BX936400.1,Plasmid,27702,44.5852285034,16819
Yersinia pseudotuberculosis PB1/+,502801,186696370,CP001048.1,Genome,4695619,47.5288561529,87745
Yersinia pseudotuberculosis PB1/+,502801,186700521,CP001049.1,Plasmid,69812,44.6885922191,87745
Yersinia pseudotuberculosis YPIII,502800,169748796,CP000950.1,Genome,4689441,47.530377288,47199
